"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
10	5241	99	0.00132533225343298	432
11	5241	56	0.00402451733216323	1174
12	5241	56	0.00429526876393361	867
13	5241	79	0.00145929081820927	348
4	5242	28	0.00998789346246973	2838
5	5242	98	0.00104393965557841	399
6	5242	114	0.000822163926493617	367
8	5242	64	0.00534395063071212	1867
9	5242	51	0.00604070496955185	2099
11	5242	59	0.00395252852128126	1153
12	5242	22	0.0132623235075551	2677
13	5242	61	0.00344275218893623	821
5	5312	50	0.00506271487103813	1935
6	5312	63	0.00428779769838905	1914
7	5312	52	0.00590066535088612	2320
9	5312	63	0.00479745363708573	1667
10	5312	30	0.010660948103425	3475
11	5312	92	0.00142949210179903	417
4	5313	60	0.00294920885184977	838
5	5313	44	0.00663778171980555	2537
6	5313	33	0.00930815017596996	4155
7	5313	27	0.0118013307017722	4640
8	5313	14	0.0152733372070058	5336
9	5313	45	0.00683212653535784	2374
10	5313	14	0.0161187399526316	5254
11	5313	5	0.0369542562527424	10780
12	5313	7	0.0333514986376022	6732
13	5313	6	0.0383902512663961	9155
7	6111	65	0.00426526542820518	1677
8	6111	41	0.008306451382071	2902
9	6111	16	0.0151837824770632	5276
10	6111	40	0.00772190111548798	2517
11	6111	10	0.0221794098288723	6470
12	6111	12	0.0221649739905871	4474
13	6111	3	0.0512680734006508	12226
4	6112	25	0.0113604369615406	3228
5	6112	82	0.00226841022903879	867
6	6112	103	0.0014740704731139	658
7	6112	101	0.0016735507762427	658
8	6112	90	0.00230702957062344	806
11	6112	69	0.00302353005704256	882
12	6112	6	0.0335546197671538	6773
13	6112	45	0.00569458888255225	1358
4	6114	17	0.0139014021059744	3950
5	6114	66	0.00346933329147109	1326
6	6114	37	0.00886458489682627	3957
7	6114	18	0.0143014833051865	5623
8	6114	69	0.00461978378037994	1614
9	6114	59	0.00510826647020226	1775
10	6114	70	0.0032090220765993	1046
11	6114	24	0.0117581724440544	3430
13	6114	23	0.0129616894226576	3091
4	6116	27	0.0100336449124388	2851
5	6116	78	0.0025012689492054	956
9	6116	82	0.00249513635474105	867
10	6116	43	0.00736602486225135	2401
11	6116	71	0.00297210947784116	867
12	6116	46	0.00522169928164479	1054
13	6116	21	0.0136661746452414	3259
4	6121	41	0.00599695928824821	1704
5	6121	60	0.00382777873712082	1463
6	6121	94	0.00191763575225759	856
7	6121	36	0.0086373532463833	3396
8	6121	85	0.00298539930789113	1043
9	6121	62	0.00495286005364399	1721
10	6121	28	0.0113328179263459	3694
11	6121	63	0.00358572838964458	1046
12	6121	39	0.00651969284121873	1316
13	6121	9	0.0276552383508336	6595
4	6123	26	0.0107551100850273	3056
5	6123	52	0.00486648561247076	1860
7	6123	77	0.00313091338230207	1231
9	6123	83	0.00244333421588829	849
10	6123	76	0.00260464602584398	849
