"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
5	3113	67	0.00408440952756436	1699
6	3113	79	0.0038232862956022	1679
7	3113	77	0.00376545203918832	1527
8	3113	95	0.00235766744083862	939
9	3113	45	0.00641599604493394	2336
10	3113	99	0.00182570527432042	668
11	3113	46	0.00560528737555425	1608
4	3115	67	0.00174717490701476	590
5	3115	20	0.0141355668169973	5880
6	3115	6	0.0220994600945916	9705
7	3115	16	0.0141148968384505	5724
8	3115	16	0.0140556148389932	5598
9	3115	19	0.0122332390343047	4454
10	3115	79	0.00313212312031616	1146
11	3115	52	0.00537173373490616	1541
12	3115	14	0.0187906776930512	4374
13	3115	95	0.00134508833675994	386
4	3121	16	0.013956670062306	4713
5	3121	6	0.0244752050618792	10181
6	3121	18	0.0140794396460443	6183
7	3121	36	0.00904004399192166	3666
8	3121	70	0.00479568137593371	1910
9	3121	48	0.00613584553269796	2234
10	3121	36	0.00898367251001678	3287
11	3121	48	0.00553556987088318	1588
12	3121	62	0.00382343464719149	890
13	3121	49	0.00508067045335749	1458
5	3122	60	0.00512534497514256	2132
6	3122	123	0.00114083766176099	501
7	3122	96	0.00239440335956245	971
9	3122	91	0.00265319014529375	966
10	3122	116	0.00101944321455317	373
13	3122	79	0.00173537303550894	498
6	3131	107	0.00251621879490198	1105
7	3131	53	0.0072300624616242	2932
8	3131	89	0.00286485468583265	1141
10	3131	75	0.00350382359532751	1282
12	3131	102	0.00135323810546665	315
13	3131	100	0.00112903787852389	324
4	3132	11	0.016992016299069	5738
5	3132	4	0.0290067600703894	12066
6	3132	5	0.024415292234334	10722
7	3132	13	0.0152294903693694	6176
8	3132	20	0.012616910426213	5025
9	3132	21	0.0119448488011206	4349
10	3132	10	0.0191425744630841	7004
11	3132	24	0.0100044619202989	2870
12	3132	90	0.00174846955214263	407
13	3132	60	0.00358574066975642	1029
4	3211	31	0.00772902797848902	2610
5	3211	41	0.00794765032261787	3306
6	3211	27	0.010743457261853	4718
7	3211	41	0.00808820084383608	3280
8	3211	88	0.0029226037285795	1164
9	3211	75	0.00379576478343267	1382
10	3211	124	0.00090192027024811	330
11	3211	35	0.00757829275774561	2174
13	3211	48	0.00508067045335749	1458
